account_id,date,value
68462,2018-12-25,4
1854,2018-12-25,16
697,2018-12-25,15
25567,2018-12-25,23
36946,2018-12-25,2
42474,2018-12-25,1
48846,2018-12-25,5
15808,2018-12-25,2
36270,2018-12-25,5
4111,2018-12-25,19
36164,2018-12-25,2
50394,2018-12-25,1
3565,2018-12-25,15
51504,2018-12-25,1
44482,2018-12-25,4
87028,2018-12-25,8
2185,2018-12-25,4
11759,2018-12-25,12
12320,2018-12-25,7
47309,2018-12-25,13
36949,2018-12-25,4
2573,2018-12-25,9
81290,2018-12-25,2
33994,2018-12-25,8
39822,2018-12-25,6
75045,2018-12-25,8
17306,2018-12-25,3
78837,2018-12-25,4
69858,2018-12-25,5
87707,2018-12-25,7
69852,2018-12-25,3
43371,2018-12-25,2
52013,2018-12-25,12
35753,2018-12-25,25
79064,2018-12-25,1
43685,2018-12-25,1
16914,2018-12-25,6
42758,2018-12-25,3
38200,2018-12-25,1
70208,2018-12-25,6
36918,2018-12-25,5
2174,2018-12-25,2
69861,2018-12-25,4
37606,2018-12-25,1
49177,2018-12-25,3
45530,2018-12-25,11
4663,2018-12-25,1
6435,2018-12-25,2
4549,2018-12-25,11
36923,2018-12-25,2
38485,2018-12-25,1
8137,2018-12-25,5
14533,2018-12-25,5
1088,2018-12-25,4
69859,2018-12-25,3
13170,2018-12-25,1
66661,2018-12-25,5
5525,2018-12-25,4
69854,2018-12-25,5
22926,2018-12-25,6
11932,2018-12-25,2
16318,2018-12-25,1
10928,2018-12-25,1
49893,2018-12-25,3
81715,2018-12-25,1
32584,2018-12-25,5
36094,2018-12-25,3
3250,2018-12-25,9
69250,2018-12-25,2
49073,2018-12-25,2
71639,2018-12-25,2
15487,2018-12-25,1
39621,2018-12-25,1
39863,2018-12-25,1
4893,2018-12-25,5
10345,2018-12-25,8
87657,2018-12-25,1
12133,2018-12-25,2
36066,2018-12-25,1
1804,2018-12-25,2
75558,2018-12-25,3
36897,2018-12-25,1
9981,2018-12-25,3
12782,2018-12-25,3
50132,2018-12-25,2
38157,2018-12-25,1
4422,2018-12-25,1
37256,2018-12-25,2
35998,2018-12-25,2
71302,2018-12-25,1
12676,2018-12-25,1
38676,2018-12-25,1
5991,2018-12-25,1
36931,2018-12-25,1
26738,2018-12-25,1
2583,2018-12-25,2
87839,2018-12-25,1
56959,2018-12-25,2
71002,2018-12-25,2
83759,2018-12-25,6
14496,2018-12-25,1
81856,2018-12-25,10
84527,2018-12-25,1
4776,2018-12-25,2
6675,2018-12-25,1
26738,2018-12-24,8
50132,2018-12-24,7
35753,2018-12-24,25
43685,2018-12-24,4
48846,2018-12-24,11
6675,2018-12-24,1
4111,2018-12-24,25
1854,2018-12-24,16
52013,2018-12-24,17
69250,2018-12-24,3
37606,2018-12-24,2
16914,2018-12-24,3
25567,2018-12-24,27
36931,2018-12-24,4
50394,2018-12-24,1
51504,2018-12-24,1
74012,2018-12-24,2
78837,2018-12-24,4
83759,2018-12-24,7
14533,2018-12-24,6
86758,2018-12-24,10
2185,2018-12-24,2
7571,2018-12-24,4
8137,2018-12-24,10
3250,2018-12-24,17
36923,2018-12-24,12
36789,2018-12-24,2
38157,2018-12-24,5
79064,2018-12-24,9
4380,2018-12-24,1
49893,2018-12-24,3
70208,2018-12-24,9
69854,2018-12-24,9
39822,2018-12-24,5
38676,2018-12-24,4
4549,2018-12-24,31
47309,2018-12-24,10
71302,2018-12-24,2
12346,2018-12-24,4
53196,2018-12-24,1
12782,2018-12-24,15
66661,2018-12-24,7
49177,2018-12-24,3
59291,2018-12-24,1
38294,2018-12-24,1
44482,2018-12-24,2
69861,2018-12-24,4
1,2018-12-24,2
82647,2018-12-24,1
71639,2018-12-24,1
74331,2018-12-24,2
87068,2018-12-24,1
36918,2018-12-24,14
22926,2018-12-24,4
16318,2018-12-24,1
4776,2018-12-24,2
36949,2018-12-24,6
5525,2018-12-24,4
10345,2018-12-24,27
1698,2018-12-24,8
87028,2018-12-24,8
36461,2018-12-24,1
14435,2018-12-24,5
70657,2018-12-24,1
71002,2018-12-24,1
49073,2018-12-24,1
13170,2018-12-24,2
11759,2018-12-24,14
33994,2018-12-24,10
39621,2018-12-24,2
45530,2018-12-24,3
13348,2018-12-24,1
51935,2018-12-24,2
3519,2018-12-24,4
37550,2018-12-24,5
75558,2018-12-24,2
37132,2018-12-24,2
11840,2018-12-24,4
77089,2018-12-24,1
76221,2018-12-24,1
1088,2018-12-24,1
2573,2018-12-24,2
12320,2018-12-24,1
10928,2018-12-24,2
35998,2018-12-24,5
36066,2018-12-24,2
9981,2018-12-24,4
3565,2018-12-24,1
12133,2018-12-24,7
42758,2018-12-24,3
15808,2018-12-24,1
75301,2018-12-24,1
38205,2018-12-24,1
1804,2018-12-24,3
4422,2018-12-24,1
13287,2018-12-24,1
2583,2018-12-24,3
73843,2018-12-24,1
68462,2018-12-24,2
5991,2018-12-24,3
3050,2018-12-24,1
4893,2018-12-24,1
69852,2018-12-24,2
12121,2018-12-24,1
3537,2018-12-24,2
75045,2018-12-24,2
3552,2018-12-24,2
69859,2018-12-24,2
38485,2018-12-24,2
43321,2018-12-24,3
12062,2018-12-24,4
17306,2018-12-24,1
32584,2018-12-24,2
11932,2018-12-24,5
1542,2018-12-24,4
14875,2018-12-24,5
87707,2018-12-24,12
71344,2018-12-24,1
82650,2018-12-24,3
7900,2018-12-24,1
36270,2018-12-24,1
43371,2018-12-24,3
35413,2018-12-24,2
21828,2018-12-24,1
48299,2018-12-24,1
75589,2018-12-24,1
83302,2018-12-24,1
36164,2018-12-24,2
697,2018-12-23,11
50394,2018-12-23,2
69852,2018-12-23,4
4111,2018-12-23,16
51504,2018-12-23,2
68462,2018-12-23,1
44482,2018-12-23,1
33994,2018-12-23,16
12062,2018-12-23,1
26738,2018-12-23,3
1854,2018-12-23,12
71639,2018-12-23,1
69580,2018-12-23,8
36946,2018-12-23,5
36931,2018-12-23,6
22926,2018-12-23,5
43685,2018-12-23,3
71344,2018-12-23,1
69854,2018-12-23,9
74331,2018-12-23,1
4285,2018-12-23,2
37606,2018-12-23,4
12320,2018-12-23,8
15808,2018-12-23,1
4422,2018-12-23,1
47309,2018-12-23,7
78837,2018-12-23,3
83759,2018-12-23,9
43321,2018-12-23,1
38157,2018-12-23,4
4549,2018-12-23,20
1698,2018-12-23,5
69859,2018-12-23,1
82647,2018-12-23,2
50132,2018-12-23,5
36949,2018-12-23,12
73843,2018-12-23,4
43371,2018-12-23,1
47551,2018-12-23,1
49177,2018-12-23,1
3487,2018-12-23,1
35753,2018-12-23,13
5991,2018-12-23,5
48846,2018-12-23,5
